Amplitude,Width,Visible time,From_left,Distance,Time
160,40,0.5,False,8.0,0.8140830993652344
160,40,0.5,False,-11.0,0.9107232093811035
160,40,0.5,False,-1.0,0.6583752632141113
160,40,0.5,False,6.0,0.6479828357696533
160,40,0.5,False,3.0,0.6272261142730713
160,40,0.5,False,5.0,0.5651192665100098
160,40,0.5,False,4.0,0.5448153018951416
160,40,0.5,False,25.0,0.4829115867614746
160,40,0.5,False,-6.0,0.670196533203125
160,40,0.5,False,2.0,0.525036096572876
160,40,0.5,False,-11.0,0.5616862773895264
640,40,0.5,False,-3.0,0.88092041015625
640,40,0.5,False,2.0,1.1000869274139404
640,40,0.5,False,7.0,0.9647698402404785
640,40,0.5,False,6.0,1.0188441276550293
640,40,0.5,False,16.0,0.8276398181915283
640,40,0.5,False,-10.0,0.6790039539337158
640,40,0.5,False,-9.0,0.8644092082977295
640,40,0.5,False,23.0,0.8629875183105469
640,40,0.5,False,-4.0,0.9467165470123291
640,40,0.5,False,-2.0,0.9312245845794678
640,40,0.5,False,-16.0,0.9873073101043701
1280,40,0.5,False,15.0,1.2104361057281494
1280,40,0.5,False,-1.0,1.004650592803955
1280,40,0.5,False,-11.0,1.209014892578125
1280,40,0.5,False,7.0,1.198601245880127
1280,40,0.5,False,-10.0,1.1002476215362549
1280,40,0.5,False,-3.0,1.0786852836608887
1280,40,0.5,False,5.0,1.2065412998199463
1280,40,0.5,False,-14.0,0.9492950439453125
1280,40,0.5,False,11.0,1.4389991760253906
1280,40,0.5,False,-3.0,1.3009545803070068
640,160,0.5,True,-39.0,0.6688425540924072
640,160,0.5,True,-82.0,0.6657459735870361
640,160,0.5,True,-15.0,0.6531877517700195
640,160,0.5,True,-62.0,0.5853259563446045
640,160,0.5,True,-39.0,0.6687672138214111
640,160,0.5,True,15.0,0.6568684577941895
640,160,0.5,True,29.0,0.6512665748596191
640,160,0.5,True,-18.0,0.6356511116027832
640,160,0.5,True,-47.0,0.584223747253418
640,160,0.5,True,-85.0,0.5838887691497803
640,160,0.5,True,-32.0,0.6170272827148438
640,160,0.5,True,34.0,0.6883699893951416
320,80,0.5,True,-4.0,0.5536870956420898
320,80,0.5,True,0.0,0.5636942386627197
320,80,0.5,True,-22.0,0.5650725364685059
320,80,0.5,True,-31.0,0.5925250053405762
320,80,0.5,True,-15.0,0.4656667709350586
320,80,0.5,True,16.0,0.5132966041564941
320,80,0.5,True,-16.0,0.5367088317871094
320,80,0.5,True,-35.0,0.46770429611206055
320,80,0.5,True,-40.0,0.5308427810668945
320,80,0.5,True,49.0,0.5146193504333496
320,80,0.5,True,7.0,0.5973019599914551
320,80,0.5,True,-3.0,0.5850315093994141
320,40,0.5,False,7.0,1.0020885467529297
320,40,0.5,False,0.0,0.6884348392486572
320,40,0.5,False,-15.0,0.5637085437774658
320,40,0.5,False,-15.0,0.6146669387817383
320,40,0.5,False,-1.0,0.6542553901672363
320,40,0.5,False,-2.0,0.5590345859527588
320,40,0.5,False,-7.0,0.6255595684051514
320,40,0.5,False,-2.0,0.6128976345062256
320,40,0.5,False,23.0,0.7006044387817383
320,40,0.5,False,-7.0,0.6335687637329102
320,40,0.5,False,0.0,0.645557165145874
1280,160,0.5,False,29.0,0.9435620307922363
1280,160,0.5,False,-37.0,0.7460381984710693
1280,160,0.5,False,51.0,0.7959945201873779
1280,160,0.5,False,-9.0,0.8792049884796143
1280,160,0.5,False,14.0,0.9569351673126221
1280,160,0.5,False,1.0,0.7175467014312744
1280,160,0.5,False,37.0,0.9423120021820068
1280,160,0.5,False,15.0,0.8930013179779053
1280,160,0.5,False,45.0,0.7960696220397949
1280,160,0.5,False,-17.0,0.8877859115600586
320,160,0.5,True,-53.0,0.49698567390441895
320,160,0.5,True,-26.0,0.4614231586456299
320,160,0.5,True,-38.0,0.4716198444366455
