Amplitude,Width,Visible time,From_left,Run,Time,Dx,Dy
160,40,0.5,False,0,0,0,0
160,40,0.5,False,0,1,-5,-3
160,40,0.5,False,0,2,-34,-4
160,40,0.5,False,0,3,-85,-3
160,40,0.5,False,0,4,-75,-1
160,40,0.5,False,0,5,-45,2
160,40,0.5,False,0,6,-23,6
160,40,0.5,False,0,7,-4,1
160,40,0.5,False,0,8,-13,3
160,40,0.5,False,0,9,-21,2
160,40,0.5,False,0,10,-17,0
160,40,0.5,False,0,11,0,0
160,40,0.5,False,0,12,0,0
160,40,0.5,False,0,13,0,0
160,40,0.5,False,1,0,-8,-1
160,40,0.5,False,1,1,-34,-2
160,40,0.5,False,1,2,-61,1
160,40,0.5,False,1,3,-77,0
160,40,0.5,False,1,4,-44,1
160,40,0.5,False,1,5,-31,0
160,40,0.5,False,1,6,-31,1
160,40,0.5,False,1,7,-44,0
160,40,0.5,False,1,8,-29,-2
160,40,0.5,False,1,9,-8,-1
160,40,0.5,False,1,10,0,0
160,40,0.5,False,1,11,1,-2
160,40,0.5,False,1,12,2,0
160,40,0.5,False,1,13,3,-1
160,40,0.5,False,1,14,2,0
160,40,0.5,False,1,15,0,0
160,40,0.5,False,2,0,0,0
160,40,0.5,False,2,1,0,0
160,40,0.5,False,2,2,0,0
160,40,0.5,False,2,3,-21,-1
160,40,0.5,False,2,4,-75,-5
160,40,0.5,False,2,5,-77,-3
160,40,0.5,False,2,6,-47,-2
160,40,0.5,False,2,7,-33,0
160,40,0.5,False,2,8,-24,0
160,40,0.5,False,2,9,-28,-3
160,40,0.5,False,2,10,-24,-3
160,40,0.5,False,2,11,-10,-1
160,40,0.5,False,2,12,0,0
160,40,0.5,False,3,0,-8,-2
160,40,0.5,False,3,1,-42,-4
160,40,0.5,False,3,2,-58,0
160,40,0.5,False,3,3,-63,0
160,40,0.5,False,3,4,-46,2
160,40,0.5,False,3,5,-43,-1
160,40,0.5,False,3,6,-42,-2
160,40,0.5,False,3,7,-13,-1
160,40,0.5,False,3,8,-9,0
160,40,0.5,False,3,9,-2,0
160,40,0.5,False,3,10,0,0
160,40,0.5,False,4,0,0,0
160,40,0.5,False,4,1,0,0
160,40,0.5,False,4,2,-4,-1
160,40,0.5,False,4,3,-51,-9
160,40,0.5,False,4,4,-72,-3
160,40,0.5,False,4,5,-52,0
160,40,0.5,False,4,6,-37,2
160,40,0.5,False,4,7,-39,1
160,40,0.5,False,4,8,-45,2
160,40,0.5,False,4,9,-25,1
160,40,0.5,False,4,10,-6,0
160,40,0.5,False,4,11,-1,0
160,40,0.5,False,4,12,0,0
160,40,0.5,False,5,0,-32,-2
160,40,0.5,False,5,1,-65,0
160,40,0.5,False,5,2,-67,-2
160,40,0.5,False,5,3,-53,0
160,40,0.5,False,5,4,-37,-1
160,40,0.5,False,5,5,-34,0
160,40,0.5,False,5,6,-28,0
160,40,0.5,False,5,7,-12,0
160,40,0.5,False,5,8,0,0
160,40,0.5,False,6,0,-1,0
160,40,0.5,False,6,1,0,-1
160,40,0.5,False,6,2,-2,0
160,40,0.5,False,6,3,-40,2
160,40,0.5,False,6,4,-60,6
160,40,0.5,False,6,5,-60,5
160,40,0.5,False,6,6,-49,4
160,40,0.5,False,6,7,-58,1
160,40,0.5,False,6,8,-42,0
160,40,0.5,False,6,9,-15,-2
160,40,0.5,False,6,10,-2,0
160,40,0.5,False,7,0,-24,-3
160,40,0.5,False,7,1,-71,-3
160,40,0.5,False,7,2,-79,0
160,40,0.5,False,7,3,-64,2
160,40,0.5,False,7,4,-34,4
160,40,0.5,False,7,5,-14,4
160,40,0.5,False,7,6,-2,1
160,40,0.5,False,7,7,0,0
160,40,0.5,False,8,0,-31,-4
160,40,0.5,False,8,1,-63,-2
160,40,0.5,False,8,2,-49,0
160,40,0.5,False,8,3,-44,0
160,40,0.5,False,8,4,-42,0
160,40,0.5,False,8,5,-37,1
160,40,0.5,False,8,6,-26,-1
160,40,0.5,False,8,7,-27,-1
160,40,0.5,False,8,8,-10,-1
160,40,0.5,False,8,9,-8,-1
160,40,0.5,False,8,10,-12,2
160,40,0.5,False,8,11,0,1
160,40,0.5,False,9,0,-20,-2
160,40,0.5,False,9,1,-74,-4
160,40,0.5,False,9,2,-91,-2
160,40,0.5,False,9,3,-73,-5
160,40,0.5,False,9,4,-32,2
160,40,0.5,False,9,5,-25,6
160,40,0.5,False,9,6,-6,0
160,40,0.5,False,9,7,-11,-1
160,40,0.5,False,9,8,-1,0
160,40,0.5,False,10,0,-25,0
160,40,0.5,False,10,1,-58,0
160,40,0.5,False,10,2,-70,-3
160,40,0.5,False,10,3,-74,-1
160,40,0.5,False,10,4,-39,1
160,40,0.5,False,10,5,-35,1
160,40,0.5,False,10,6,-41,3
160,40,0.5,False,10,7,-11,0
160,40,0.5,False,10,8,-4,0
640,40,0.5,False,0,0,-10,4
640,40,0.5,False,0,1,-62,7
640,40,0.5,False,0,2,-128,17
640,40,0.5,False,0,3,-236,35
640,40,0.5,False,0,4,-246,23
640,40,0.5,False,0,5,-232,3
640,40,0.5,False,0,6,-180,-16
640,40,0.5,False,0,7,-127,-25
640,40,0.5,False,0,8,-21,-9
640,40,0.5,False,0,9,8,0
640,40,0.5,False,0,10,2,0
640,40,0.5,False,0,11,-16,0
640,40,0.5,False,0,12,-19,-3
640,40,0.5,False,0,13,-17,-4
640,40,0.5,False,0,14,-13,-1
640,40,0.5,False,0,15,0,0
640,40,0.5,False,1,0,0,1
640,40,0.5,False,1,1,0,0
640,40,0.5,False,1,2,-7,0
640,40,0.5,False,1,3,-53,3
640,40,0.5,False,1,4,-92,11
640,40,0.5,False,1,5,-144,19
640,40,0.5,False,1,6,-224,22
640,40,0.5,False,1,7,-232,16
640,40,0.5,False,1,8,-254,8
640,40,0.5,False,1,9,-219,-3
640,40,0.5,False,1,10,-180,-17
640,40,0.5,False,1,11,-77,-10
640,40,0.5,False,1,12,-5,0
640,40,0.5,False,1,13,18,2
640,40,0.5,False,1,14,46,2
640,40,0.5,False,1,15,39,1
640,40,0.5,False,1,16,21,0
640,40,0.5,False,1,17,11,0
640,40,0.5,False,1,18,25,0
640,40,0.5,False,1,19,33,-2
640,40,0.5,False,1,20,7,-2
640,40,0.5,False,1,21,0,0
640,40,0.5,False,2,0,0,0
640,40,0.5,False,2,1,-14,-1
640,40,0.5,False,2,2,-64,-4
640,40,0.5,False,2,3,-145,-7
640,40,0.5,False,2,4,-148,0
640,40,0.5,False,2,5,-138,-7
640,40,0.5,False,2,6,-160,-16
640,40,0.5,False,2,7,-156,-10
640,40,0.5,False,2,8,-166,-12
640,40,0.5,False,2,9,-116,-12
640,40,0.5,False,2,10,-60,-5
640,40,0.5,False,2,11,-33,0
640,40,0.5,False,2,12,-30,-2
640,40,0.5,False,2,13,-17,-1
640,40,0.5,False,2,14,-29,-1
640,40,0.5,False,2,15,0,0
640,40,0.5,False,2,16,-2,0
640,40,0.5,False,3,0,-4,0
640,40,0.5,False,3,1,-41,-4
640,40,0.5,False,3,2,-112,-7
640,40,0.5,False,3,3,-186,-8
640,40,0.5,False,3,4,-187,-16
640,40,0.5,False,3,5,-187,-14
640,40,0.5,False,3,6,-171,-14
640,40,0.5,False,3,7,-134,-8
640,40,0.5,False,3,8,-37,-3
640,40,0.5,False,3,9,-30,-2
640,40,0.5,False,3,10,-72,-7
640,40,0.5,False,3,11,-27,-4
640,40,0.5,False,3,12,-20,-2
640,40,0.5,False,3,13,-16,-1
640,40,0.5,False,3,14,-9,-1
640,40,0.5,False,3,15,-11,0
640,40,0.5,False,3,16,-24,-2
640,40,0.5,False,3,17,-11,0
640,40,0.5,False,3,18,0,0
640,40,0.5,False,4,0,0,1
640,40,0.5,False,4,1,0,0
640,40,0.5,False,4,2,0,0
640,40,0.5,False,4,3,-28,-4
640,40,0.5,False,4,4,-97,-7
