Amplitude,Width,Visible time,From_left,Run,Time,Dx,Dy
320,160,0.5,True,0,0,0,0
320,160,0.5,True,0,1,0,0
320,160,0.5,True,0,2,0,0
320,160,0.5,True,0,3,2,-1
320,160,0.5,True,0,4,186,-44
320,160,0.5,True,0,5,504,-77
320,160,0.5,True,0,6,625,-66
320,160,0.5,True,0,7,643,-1
320,160,0.5,True,0,8,742,20
320,160,0.5,True,0,9,789,33
320,160,0.5,True,0,10,772,40
320,160,0.5,True,0,11,748,32
320,160,0.5,True,0,12,789,13
320,160,0.5,True,0,13,881,3
320,160,0.5,True,0,14,847,12
320,160,0.5,True,0,15,486,31
320,160,0.5,True,0,16,421,62
320,160,0.5,True,0,17,208,31
320,160,0.5,True,0,18,25,4
320,160,0.5,True,1,0,0,0
320,160,0.5,True,1,1,0,0
320,160,0.5,True,1,2,118,-7
320,160,0.5,True,1,3,406,-27
320,160,0.5,True,1,4,643,-9
320,160,0.5,True,1,5,722,18
320,160,0.5,True,1,6,734,50
320,160,0.5,True,1,7,775,109
320,160,0.5,True,1,8,854,98
320,160,0.5,True,1,9,779,67
320,160,0.5,True,1,10,680,40
320,160,0.5,True,1,11,443,36
320,160,0.5,True,1,12,58,15
320,160,0.5,True,2,0,0,0
320,160,0.5,True,2,1,0,0
320,160,0.5,True,2,2,51,-7
320,160,0.5,True,2,3,384,-23
320,160,0.5,True,2,4,618,36
320,160,0.5,True,2,5,878,113
320,160,0.5,True,2,6,955,96
320,160,0.5,True,2,7,934,40
320,160,0.5,True,2,8,943,16
320,160,0.5,True,2,9,735,29
320,160,0.5,True,2,10,399,71
320,160,0.5,True,2,11,226,42
320,160,0.5,True,2,12,72,17
320,160,0.5,True,3,0,1,0
320,160,0.5,True,3,1,1,1
320,160,0.5,True,3,2,6,0
320,160,0.5,True,3,3,282,53
320,160,0.5,True,3,4,701,123
320,160,0.5,True,3,5,902,169
320,160,0.5,True,3,6,833,103
320,160,0.5,True,3,7,678,41
320,160,0.5,True,3,8,679,-3
320,160,0.5,True,3,9,828,-17
320,160,0.5,True,3,10,892,92
320,160,0.5,True,3,11,724,116
320,160,0.5,True,3,12,483,86
320,160,0.5,True,3,13,197,20
320,160,0.5,True,3,14,31,0
320,160,0.5,True,3,15,0,0
320,160,0.5,True,4,0,1,4
320,160,0.5,True,4,1,1,-14
320,160,0.5,True,4,2,0,-2
320,160,0.5,True,4,3,1,0
320,160,0.5,True,4,4,188,17
320,160,0.5,True,4,5,605,18
320,160,0.5,True,4,6,1079,31
320,160,0.5,True,4,7,1330,83
320,160,0.5,True,4,8,1093,170
320,160,0.5,True,4,9,833,155
320,160,0.5,True,4,10,712,30
320,160,0.5,True,4,11,756,-19
320,160,0.5,True,4,12,773,-19
320,160,0.5,True,4,13,613,11
320,160,0.5,True,4,14,167,42
320,160,0.5,True,4,15,-15,27
320,160,0.5,True,5,0,21,-3
320,160,0.5,True,5,1,217,-12
320,160,0.5,True,5,2,547,2
320,160,0.5,True,5,3,769,28
320,160,0.5,True,5,4,1020,34
